sophiayuan(袁雪芬)(00:00:00): 当时。
sophiayuan(袁雪芬)(00:22:01): 不是。

小靖(00:22:04): 所以呢，问来问去都不知道是哪个社区的。要是有什么紧急状况的话。就是说就会造成很大的影响，对吧，就比较紧急的话。

sophiayuan(袁雪芬)(00:22:11): 嗯嗯。对对对对。

小靖(00:22:15): 啊，所以真的很不方便那个平台。对嗯嗯。

sophiayuan(袁雪芬)(00:22:20): 唉，那回到我们刚刚说的那个收集信息啊，表格整理，然后你们去上报嘛，对吧，你们上报的其实刚刚有说都是电子文档上报噢，存不存在一定要盖章纸质上报的情况。

小靖(00:22:35): 嗯，对，就是说你你全部收集好了以后就是由这个负责的啊，两委干部他就把表格整理一下，整理好了以后就打印出来，然后盖上设计的章就去上交这样子。

sophiayuan(袁雪芬)(00:22:38): 这不是。嗯嗯。嗯嗯。哦，那大部分是就是纸质上交吗？

小靖(00:22:48): 嗯嗯。

sophiayuan(袁雪芬)(00:22:51): 不是电子秤交是吧？

小靖(00:22:53): 电子的也有电子的也是打印出来以后，然后盖个章扫描版发过去。

sophiayuan(袁雪芬)(00:23:00): 哦，是这样子啊！

小靖(00:23:00): 这样子。也是要打印出来的。

sophiayuan(袁雪芬)(00:23:06): 噢，唉，那我有一个问题，因为上级管理部门发下来的表格可能会有各种格式啊，就是表表头也好，或者格式也好，那你们的两位成员是不是把那张表复制到腾讯文档，你就就照原来的格式不会去改动那个格式是吧？

小靖(00:23:06): 对啊。真的。Thank. 嗯嗯。嗯嗯。不用直接转成腾讯文档，转到线上去就可以了。

sophiayuan(袁雪芬)(00:23:27): 就可以了是吧嗯，然后。

小靖(00:23:28): 啊，不用去改它。

sophiayuan(袁雪芬)(00:23:30): 你们是用呃，那网格员是直接在那个表格里填？还是说你们用收集表的方式来填啊？

小靖(00:23:30): 嗯嗯。

sophiayuan(袁雪芬)(00:23:37): 是的。

小靖(00:23:38): 用用那个直接在腾讯文档那里的表格里面填，在线上填。

sophiayuan(袁雪芬)(00:23:42): 哦哦。哦，就是相当于两位成员。开了一张表格，那个表格就是上级管理部门要求的那个呃样式，然后网格员各自填各自的是吧？

小靖(00:23:47): 这个。嗯嗯。对对对，填好以后，然后就就整理整理一下嗯。

sophiayuan(袁雪芬)(00:23:54): 哦哦，填好以后。噢，那两位他需要去呃确认这个数据吗？

小靖(00:23:58): 嗯嗯嗯。

sophiayuan(袁雪芬)(00:24:02): 还是说他就？

小靖(00:24:03): 对，他要他还要看一下，看一下他们有没有填的，有没有错。就填错的话嗯！

sophiayuan(袁雪芬)(00:24:08): 嗯，一本。一般看什么样的错误？

小靖(00:24:13): 啊，就是说他的填写的那个文字啊？嗯，例如说那这个人已经死亡的，有人又写了死亡的日期，有人没写死亡的日期，这样子就要看清楚一点。

sophiayuan(袁雪芬)(00:24:16): 嗯嗯。嗯你。

小靖(00:24:25): 就是要统11下对。

sophiayuan(袁雪芬)(00:24:25): 哦哦哦。噢噢噢噢，是这样子，那其实，唉，那其实这样子，其实，呃，关于上级。

小靖(00:24:30): 嗯嗯。

sophiayuan(袁雪芬)(00:24:34): 下来的这个任务其实是不是大部分都是网格员在做，然后两委的工作其实是相对比较轻的。

小靖(00:24:42): 没有网格员跟两委干部是一样的，可能网这个两委干部的工作量要比网格员的多。

sophiayuan(袁雪芬)(00:24:46): 嗯嗯。

小靖(00:24:50): 因为他有增加了线条，因为他增加了一个线条，例如这个民政这一块的话，他们负责的东西非常多，有时候不一定要网格员来辅助他完成，有一些是他要自己去做的事情。

sophiayuan(袁雪芬)(00:24:50): 哦，为为什么？二号。然后我觉得。自己完成是吧？噢，是，唉，是，唉，我想我想了解一下什么样的工作是，呃，只能村委自己做什么样的工作是可以分给网格员做的呀？

小靖(00:25:05): 嗯嗯。You're free. 啊，例如说啊，有一个工作的汇报，就是说你这样工作做得怎么样，他那上级要要要我们写一个工作汇报。工作汇报的话，就是由我们的这个两委干部，他就收集了所有信息，以后自己自己来写这个文文件。

sophiayuan(袁雪芬)(00:25:24): 嗯嗯嗯。

小靖(00:25:32): 写这个上去。

sophiayuan(袁雪芬)(00:25:32): 嗯嗯。

小靖(00:25:34): 对对。

sophiayuan(袁雪芬)(00:25:34): 嗯嗯。这种工这种工作多吗？

小靖(00:25:35): 还有呢。挺多的。挺多的，要调查调查什么，调查什么很多的嗯。

sophiayuan(袁雪芬)(00:25:39): 算了。嗯唉，这这种这种你你你你晚一点可以发一些类似的案例给我们。就是。

小靖(00:25:49): 哦，就是民政这一块的是吗？

sophiayuan(袁雪芬)(00:25:50): 可以扩。对对对我，我不知道，比如说民政还有哪些部门是经常找你们要要要这些。

小靖(00:25:57): 嗯嗯。

sophiayuan(袁雪芬)(00:25:58): 数据啊，就主要应该是，唉，因为下面很多部门嘛，主要找你们的部门是谁呢？

小靖(00:26:01): 好吃。嗯，很多部门。社工部，社会工作部还有那个呃？

sophiayuan(袁雪芬)(00:26:08): 嗯嗯。

小靖(00:26:10): 呃，党组织的这一块的呃组织部。

sophiayuan(袁雪芬)(00:26:13): 嗯，组织部，宣传部。

小靖(00:26:14): 组织部宣传部啊，还有？

sophiayuan(袁雪芬)(00:26:16): 嗯啊。

小靖(00:26:17): 还有那个民政？

sophiayuan(袁雪芬)(00:26:19): 嗯嗯。

小靖(00:26:19): 民政局，民政民政这一块的还有那个啊，政法委？

sophiayuan(袁雪芬)(00:26:22): 嗯哼。

小靖(00:26:25): 政法委那一块的？

sophiayuan(袁雪芬)(00:26:25): 嗯嗯嗯。

小靖(00:26:26): 啊，很多很多线条啊，那个派出所。

sophiayuan(袁雪芬)(00:26:27): 嗯嗯。

小靖(00:26:30): 公安这一块的也有？

sophiayuan(袁雪芬)(00:26:30): 嗯嗯。

小靖(00:26:32): 很多的部门所有的部门都要来找我们的。

sophiayuan(袁雪芬)(00:26:32): 然后。

小靖(00:26:35): 嗯嗯，对。需要什么。

sophiayuan(袁雪芬)(00:26:37): 唉，那那那你晚一点方便把这些各个部门找你们要的那个表格都发我们一份嘛，就不要填好了的，或者就是每空表给我们。

小靖(00:26:48): 嗯，我我看一下，我们近期在在调在那个线上调查的那一个，我我我发一份给你给你看一下。

sophiayuan(袁雪芬)(00:26:56): 好呀好呀好呀，就因为我们想去先了解，就是大家都会收到什么样的表嘛，然后。

小靖(00:26:57): 嗯哼。嗯嗯嗯。

sophiayuan(袁雪芬)(00:27:03): 嗯，未来我们也是想联合腾讯文档一起解决这个事情，所以其实需要很多，咱们现在收要要收的各种表，他们的样式啊，他们的字段啊，啊，都是哪些部门发的呀，或者存不存在说一个事情可能多个部门，然后多个部门可能。

小靖(00:27:08): 真的。嗯嗯。是啊。

sophiayuan(袁雪芬)(00:27:22): 嗯，表格又不一样呀，就这些案例我们要呃收集，所以就拿来做研究用也不会外传的。

小靖(00:27:30): 可以可以，我把那个空表发给你，等一下，我到群里找一下。

sophiayuan(袁雪芬)(00:27:32): 好呀，好呀。好的好的好的，好的，好的，唉，就是刚刚我们聊这么多这么多哈，你觉得嗯，你最希望被改善的是哪个环节呢？就用用这种数字化工具来改善的。

小靖(00:27:35): 嗯嗯。

小靖(00:27:47): 用数字化工具来改善的。嗯，就是说就说那些呃应该。应该现在那个表格的那一个也是挺方便的。就是说我，我们就要把这一类信息就是说我跟你说的那一个，他们发了一个调查表下来。只有啊，只有这个人的姓名，身份证跟地址。

sophiayuan(袁雪芬)(00:28:05): 嗯嗯。嗯嗯嗯。

小靖(00:28:09): 然后没有联系方式？其他什么都没有了，就是说我们这一块的话，就是说要非常非常快的把把这个电话号码给啊给查询到。

sophiayuan(袁雪芬)(00:28:19): 然后我。

小靖(00:28:20): 嗯，这样子。啊，这个就就是我们就是说比较。

sophiayuan(袁雪芬)(00:28:21): 嗯嗯嗯。

小靖(00:28:24): 啊，比较要解决的这个问题。对对。

sophiayuan(袁雪芬)(00:28:26): 嗯嗯。就是从从一个呃，从 a 表找信息，然后要 copy 到 B 表里面对应上 B 表的某些信息，这个是你们比较迫切想要解决的是吧？

小靖(00:28:31): 嗯嗯。嗯嗯。然后。对对对对。

sophiayuan(袁雪芬)(00:28:39): 噢，好的好的，那其其他的，比如说呃，怎么样去筛选啊，或者是怎么样快速的帮你们用公式找到你找到一些汇总某些信息，这个其实相对来讲比较比较少是吗？

小靖(00:28:40): 嗯嗯。

小靖(00:28:53): 嗯，对的，已经已经有一些相应的那个呃那个方式。呃，有有那个 excel 的表格，有这些，有这些功能。

sophiayuan(袁雪芬)(00:28:58): 哦哦。嗯嗯嗯。好呀好呀好的，那那嗯！

小靖(00:29:04): 嗯嗯。Thank you. 

sophiayuan(袁雪芬)(00:29:06): 你觉得其实现在梁伟刚刚有提到，就梁伟很多工作都是要处理这种任务也好，表格也好，这种？Thank you. 多嘛，就是不知道怎么多，百分之三，四十，五十。

小靖(00:29:16): 嗯嗯。

sophiayuan(袁雪芬)(00:29:19): 每天的工作占比。

小靖(00:29:23): 嗯，我们现在的话就是。呃，基本上一个月都要要几次这样的那个上报那个数据什么的，就是有时候多，有时候可能一个星期有，有有两张，有，有两项任务，有，有时候可能是一个月只有两三次，就是说不定的。

sophiayuan(袁雪芬)(00:29:33): 嗯嗯嗯。嗯嗯嗯。

小靖(00:29:43): 嗯，说不定的，有时候一下子那个部门来那个部门一起来也说不定这样子。

sophiayuan(袁雪芬)(00:29:43): 对呀。噢，了解了解确实是，唉，你们搜集的这些信息你觉得对？

小靖(00:29:49): 嗯嗯。为什么。

sophiayuan(袁雪芬)(00:29:54): 嗯，咱们社区来讲这些数据是？是除了上报之外，这些数据对你们平常的工作是有用的吗？还是你是只是觉得上级只是完成了一个上级的任务，然后这些数据对你们来讲也是没有什么。

小靖(00:30:03): 是啊。

sophiayuan(袁雪芬)(00:30:09): 然后用的。

小靖(00:30:10): 呃，那用还是有用的，就是说我们可以了解到这一些啊，这些人的基本情况。

sophiayuan(袁雪芬)(00:30:11): 嗯嗯。

小靖(00:30:17): 啊，就是把那个信息收集的更多，我们就更了解。但是有一些就是重复的报。

sophiayuan(袁雪芬)(00:30:20): 嗯嗯嗯。

小靖(00:30:23): 啊，就是重复的报，有时候这个部门要报这个，那个部门也要报这个。

sophiayuan(袁雪芬)(00:30:23): 嗯嗯。

小靖(00:30:28): 抱来抱去的？很多都是这些事情对。

sophiayuan(袁雪芬)(00:30:29): 没有。

小靖(00:30:31): 嗯嗯。

sophiayuan(袁雪芬)(00:30:31): 哦唉，什么样的信息是会存在重复报的呀？

小靖(00:30:36): 呃，重复报的话就是说。他那个部门要？嗯，例如那个社会工作部他也要报那个。

sophiayuan(袁雪芬)(00:30:42): 嗯嗯。

小靖(00:30:43): 呃，报那个什么信息，那个呃组织部也要报这个信息是差不多的，例如我们那个基层基层治理的工作。啊，就是说。

sophiayuan(袁雪芬)(00:30:52): 嗯嗯。

小靖(00:30:53): 做了什么。

sophiayuan(袁雪芬)(00:30:54): 无限期。不知道。

小靖(00:30:55): 嗯，就是近期调解的什么矛盾纠纷啊，什么案例啊什么的，他们就重复的让我们报上去，对。

sophiayuan(袁雪芬)(00:30:58): 哦哦哦。哦哦。

小靖(00:31:02): 那个部门也要，那个部门也要嗯对。

sophiayuan(袁雪芬)(00:31:05): 哦哦。

小靖(00:31:06): 嗯嗯。

sophiayuan(袁雪芬)(00:31:06): 所以其实嗯，上级管理部门他们要的东西，一方面呢，可能是，呃，每一个人或每一户的一些情况的收集，对吧，这是一种一种报表，第二种呢，它可能是，呃，基于咱们村两委的工作啊，比如说近期这个调解纠纷的工作汇总啊，或者是环境卫生的汇总这种。

小靖(00:31:12): 嗯哼。嗯嗯。对呀。嗯，忘说了什么？嗯嗯。对，还有。嗯嗯。

sophiayuan(袁雪芬)(00:31:31): 就是两大类懂了。

小靖(00:31:33): 对，还有还有就是说啊，活动这一块的搞了什么活动，嗯。

sophiayuan(袁雪芬)(00:31:37): 哦对对对，刚刚又提到了互动。

小靖(00:31:39): 嗯，对呃，什么都有什么亮点，最重要的是你做的什么亮点？

sophiayuan(袁雪芬)(00:31:39): 好的。

小靖(00:31:44): 他们经常用我们这些。哼哼。

sophiayuan(袁雪芬)(00:31:46): 唉，那你们现在是怎么怎么怎么总结这些呢？是用穿那个月之梅里面的一些。沉淀的一些数据来去看嘛！

小靖(00:31:57): 对对对对，我们最主要的还是叶志梅的工具帮到我们，我们每常每天就是说经常开展那些活动，活动上传上去。

sophiayuan(袁雪芬)(00:32:05): 嗯嗯。

小靖(00:32:06): 然后我们要工作的时候我们就。

sophiayuan(袁雪芬)(00:32:06): 嗯嗯。

小靖(00:32:09): 要要要在那里面去查。做的什么什么比较比较容易嘛，搜索一个关键词它就跳出来了。

sophiayuan(袁雪芬)(00:32:14): 嗯嗯。

小靖(00:32:16): 跳出来了以后我就知道我们啊做了这些工作是什么什么的，就就就可以来做一个汇总。

sophiayuan(袁雪芬)(00:32:16): 哦哦。

小靖(00:32:22): 这样子。

sophiayuan(袁雪芬)(00:32:22): 噢，唉，唉，我那那你你待会方便这些也发我们一下吗？因为我最近除了刚刚我提到的这种表格啊，信息的收集整理之外，还有另外一块另一块工作呢，就是现在 AI 很很流行嘛，对吧，我们是想把现在。

小靖(00:32:25): 不就是。

小靖(00:32:38): 嗯嗯。

sophiayuan(袁雪芬)(00:32:38): 呃，叶志梅里面的很，因因为叶志梅现在咱们社区已经沉淀了很多的数据，那你们可能只能通过关键词去搜索，那我们想用一种比较。呃，方便的方式帮你们去做这种数据的整整整理哈，比如说你现在可能要写一个这个呃，民情纠纷或者是或者是活动的，那你可能只需要去问一下小更说，唉，小更帮我整理一下这个最近一个季度啊，我们村开展了多少个活动，多少人参加这种数据，就不需要你一条一条一条看了嘛。

小靖(00:33:05): 嗯嗯。嗯嗯。对对。

sophiayuan(袁雪芬)(00:33:12): 噢，我们想做一个这样的一个事情，但我们想先了解一下，你比如说以以咱们南门，南门社区为主。

小靖(00:33:15): 可以。

sophiayuan(袁雪芬)(00:33:19): 你们经常汇总的数据是什么啊？就在平台里面呢，汇总汇汇去汇总哪些数据，然后这些数据是用于什么样的汇报也好，或者是上报也好。呃，有没有这种已经有的案例也一起发给我？

小靖(00:33:37): 呃，有的就是说呃呃，如果上半年的工作就是说你上半年呃，组织这个呃，党群服务中心里面开展活动。

sophiayuan(袁雪芬)(00:33:46): 嗯嗯。

小靖(00:33:47): 呃，一个工作汇报。

sophiayuan(袁雪芬)(00:33:47): 嗯嗯。

小靖(00:33:49): 嗯，就这样子，他就要求我们上半年，然后下半年也要我们上报一个，嗯，不是下半年的话就是开展一个全年的一个汇总。

sophiayuan(袁雪芬)(00:33:49): 嗯呢。

小靖(00:33:59): 呃，经常有要我们报的或者是一个季度，你们的活动开展怎么样怎么样？

sophiayuan(袁雪芬)(00:33:59): 哦哦。嗯嗯。哦哦哦。

小靖(00:34:05): 嗯嗯，如果叶志敏有这个 AI 的工具，可以让我们汇总的话啊，他可以帮我们帮我们写好的话，那就更好，那就方便我们的工作。

sophiayuan(袁雪芬)(00:34:13): 对对对，我我我我们就是想先看看大家在这个月之美上的数据汇总的需求是怎样子的，比如说你们是怎么去汇报的，那我应该整理出哪些数据给你们。

小靖(00:34:15): 可以。嗯嗯。

sophiayuan(袁雪芬)(00:34:28): 啊，所以你你晚一点也可以把跟着那些表格一起发给我，然后我们来一起研究一下。

小靖(00:34:28): 嗯嗯。所以我我我有报给我们那个呃，社工部，我们那个工作啊，链点的，链点的工作就是说我们社区做了什么链点的工作，我们就要报给他们。

sophiayuan(袁雪芬)(00:34:45): 嗯嗯嗯。

小靖(00:34:46): 这样子。

sophiayuan(袁雪芬)(00:34:47): 好呀好呀好呀好呀！

小靖(00:34:47): 可以。嗯嗯。

sophiayuan(袁雪芬)(00:34:49): 行啊行啊，那那那就我就。

小靖(00:34:49): 嗯嗯。

sophiayuan(袁雪芬)(00:34:51): 暂时还没有其他的问题了，就辛苦那个。

小靖(00:34:54): 嗯嗯。

sophiayuan(袁雪芬)(00:34:55): 书记待会就各种的表格啊什么的一起发给我。

小靖(00:34:56): 没事。嗯哦。好，还有我们那个工作亮点的汇总啊，什么我都发给你。

sophiayuan(袁雪芬)(00:35:00): Hey. 对对对对对对好呀好呀好呀好的，谢谢！谢谢！咱们村还是很好的，已经用不上腾讯文档了。

小靖(00:35:04): 他不说就是嘛！啊，有一些没用是吗？

sophiayuan(袁雪芬)(00:35:09): 唉唉对对对，我补充，我补充一个问题，你们用腾讯文档是自己开会员吗？

小靖(00:35:15): 没有啊，不用会员是可以用的吧，可以用啊！

sophiayuan(袁雪芬)(00:35:19): 嗯，不用，会员是可以用，但好像有限制嘛，比如说只能开多少个文档啊，什么之类的。

小靖(00:35:25): 嗯，对，就是比较比较那个的功能就没有。我我自己就有会员，我自己有会员。

sophiayuan(袁雪芬)(00:35:30): 哦哦。

小靖(00:35:32): 对对。

sophiayuan(袁雪芬)(00:35:32): 嗯嗯，因为比如说刚刚提到两位，他可能每一个任务都是在上面开一个文档，那是岂不是要开很多文档？

小靖(00:35:33): 嗯嗯。没，没有他，他们用我的账号。

sophiayuan(袁雪芬)(00:35:43): 哦，你共用一个账号是吧？

小靖(00:35:46): 嗯，对，共用一个账号，他们登录我的就可以用。

sophiayuan(袁雪芬)(00:35:48): 哦哦哦。哦，是哎，就是大家都用你的吗？

小靖(00:35:54): 唉，好像也有其他的，他们也有，也有一些好像是不用会员的那个收集那个信息的，唉！

sophiayuan(袁雪芬)(00:35:59): 有一些。噢，有一些是没有，但是我我我了解到的是他们是有。文档数限制啊，如果你不是会会员的话，会有文档数限制啊，什么之类的。

小靖(00:36:12): 嗯，好像是有有这个限制，但是我们现在在用的过程中还没有说需要那个会员的。

sophiayuan(袁雪芬)(00:36:15): 嗯嗯。嗯嗯。

小靖(00:36:19): 对啊。

sophiayuan(袁雪芬)(00:36:20): 哦哦哦。那你你你你后面也可以，比如说腾讯文档上有哪些，你觉得用的不好，或者反馈建议也可以一起一起反馈给我们，然后我们去跟文档那边看看怎么样。呃，适配我们这种社区的场景，因为腾讯文档他们是一个比较。就是广泛使用的工具嘛，不一定适配我们社区啊！

小靖(00:36:38): 拜拜。对对对。嗯，对对。

sophiayuan(袁雪芬)(00:36:43): 好的好的。

小靖(00:36:44): 嗯，好的。

sophiayuan(袁雪芬)(00:36:44): 好的，谢谢！谢谢书记，谢谢书记！

小靖(00:36:46): 嗯嗯，不客气，我等一下发给你。

sophiayuan(袁雪芬)(00:36:47): 好，那咱们。

小靖(00:36:48): 嗯嗯。

sophiayuan(袁雪芬)(00:36:48): 好好好，谢谢谢谢谢谢！那今天就先到这里，辛苦你了！

小靖(00:36:50): 嗯嗯。啊，没事没事好好好就这样了。

sophiayuan(袁雪芬)(00:36:54): 唉，好嘞好嘞好，唉，拜拜！

小靖(00:36:55): 好，拜拜。拜拜。

sophiayuan(袁雪芬)(00:36:57): Thanks. 
