sophiayuan(袁雪芬)(00:00:10): It's. 
天宇(00:28:31): 要，呃，就是沟渠的话，就是比如说需要硬化的，就是它现在还是就是泥土的那种结构，不是混凝土的话，呃，都是都是在我们我我都住有表哥。

sophiayuan(袁雪芬)(00:28:37): 嗯嗯。嗯，你都有标明的哦 ok ok 你之前是不是都？

天宇(00:28:43): 都弄有表格？对，而且有排序。

sophiayuan(袁雪芬)(00:28:47): 嗯，之前你都发给艾那个我们同事那个艾瑞斯了是吧？

天宇(00:28:52): 呃，那个勾取的没有，就是勾取的话，我基本上就是我们还进行了一个排序，比如说就是这条路，就是需，就是它就是，呃，路过的人就是需要需要的人就是。

sophiayuan(袁雪芬)(00:28:54): 哦哦。

天宇(00:29:05): 针对的就是这这个群体比较大的话，然后我会排在排在前边，比如说就是这条沟渠，它就是涉及到排洪的话，我会给它排在前边，它有就是沟渠，我们农村的沟渠基本上它有灌溉，呃，有，有有排洪这方面的话，基本上大家都是以人为本的话，就是会把，就是，呃，涉及到排洪这方面的，都会有一个优先等级。

sophiayuan(袁雪芬)(00:29:08): 嗯嗯。嗯嗯。没有。嗯嗯。嗯嗯，好的，了解你觉得呃。你觉得啊在？就是比如说，呃，收到上级的任务，然后到这个信息的收集，然后再到这个信息的整理，然后再上报过去这整个过程啊，这这。应该是。整个过程里面你觉得？最麻烦的是哪一哪一个环节啊？

天宇(00:29:54): 呃，可能就是。比如说让让就是小组长或者是网格员去收集信息量比较大的一些东西的话，手动录入这一块的话就是比较繁琐，因为你公式什么都用不上了，只能手动去输入。

sophiayuan(袁雪芬)(00:30:06): 你呢。怎么。嗯哼。嗯嗯。就是就是。嗯，小组长你你你把这个任务分给小组长，小组长去手动收集了，然后。这个事情是比较难，因为你还要需要整理是吗？

天宇(00:30:22): 对，需要需要录入到电脑就是需要你手动去输入，就是可能会用，用的时间会会挺久的。

sophiayuan(袁雪芬)(00:30:32): 确实确实，那你们一般是一个字一个字敲还是说拍个照，然后让让让电哪些软件帮你转成文字？

天宇(00:30:42): 11般话，一般的话都是一个字，一个字去敲，就是去转化的话就是有些东西有误差。

sophiayuan(袁雪芬)(00:30:50): 哦，有误差是吧？确实，如果如果比如说像那种什么耕地面积调研啊，或者是收成调研。那一个村里面几百户确实是蛮难录入工作还挺大的。

天宇(00:31:05): 嗯，是的，还有雪峰老师，还有一个问题就是在考虑到很多表格都是基于就是户籍资料，就是它里边涉及的就是个人隐私性的一些东西，比如说就是最敏感的就是身份证号码，还有就是电话号码，现在都在防止诈骗嘛，然后呃，后续如果推入的话，就是我考虑到就是有一些穿它会不会考虑到这一方，这这这一点。

sophiayuan(袁雪芬)(00:31:12): 嗯嗯。没有。嗯嗯。

天宇(00:31:29): 不愿意上传。

sophiayuan(袁雪芬)(00:31:29): 嗯嗯。这个倒还好，唉，因为比如说我们刚刚跟绵阳市那个金反向数据聊。他倒不觉得这是个隐隐私的信息，对。他觉得这个不够隐私，还有一个其实还是在于是说，嗯，比如说你们现在是多张表，去去去去去去比对嘛，对吧，可能脱贫户有一张表，然后或者是户籍档案又有一张表，然后可能低保又有一张表，那你们？

天宇(00:31:41): 嗯嗯。嗯哼。嗯，对。嗯嗯。

sophiayuan(袁雪芬)(00:31:58): 就是这比对的时候可能。就我自己想的是说我在这里。哦哦哦。

天宇(00:32:05): 对对。

sophiayuan(袁雪芬)(00:32:06): 不需要你去多张表比对了，我可能给你一个系统。所以，所以。很快的提出你们要的数据。这个是。未来想做的就比如说你现在都 AI 都很。

天宇(00:32:20): 嗯嗯。

sophiayuan(袁雪芬)(00:32:22): 嗯，就是大家运用的比较多了嘛，对吧，那我用 AI 的方式，比如说你自然语言，你就说，唉，我现在要这些12345678这个这几个人的啊，资料啊，帮我调出来，那我就直接帮你调出来啊，还还最好的方式，当然是直接要直接填到你，你要填的那张表里去，这个是比较啊。

天宇(00:32:25): 嗯，对。

sophiayuan(袁雪芬)(00:32:44): 比较方便的嘛，对于你们来讲，你说一句话我就能，反正所有的工作都帮你做了啊。

天宇(00:32:46): 嗯嗯。嗯，对啊。

sophiayuan(袁雪芬)(00:32:51): 如果说还是需要你们去复制啊，上传啊，下载下载啊！就会比较麻烦一些了。所以其实我我们为什么还是要继续再跟你调研一下，就是我们想了解清楚，就是你们现在的每一个操作步骤是什么？

天宇(00:33:05): 嗯嗯。

sophiayuan(袁雪芬)(00:33:07): 然后我们去看哪些步骤是我们？现有的技术能力是能做的啊，比如说收集信息对吧？

天宇(00:33:14): 嗯嗯。

sophiayuan(袁雪芬)(00:33:16): 你们现在的小组长嗯，都是那个纸张去收集，那这个有个很大的困难，是他们年纪比较大，可能用不来数字化工具都不用纸张，那你们收集上来的是纸张，那我我可能我们要做的是怎么样让你们？收上来那个纸张拍个照我就能转到你那个表格里面去。而不是你们一个字一个字敲。

天宇(00:33:39): 对对对。这这个会解决大问题。

sophiayuan(袁雪芬)(00:33:43): 对对对，主要是这个就所以就是还想说还有哪些你你觉得哪个环节是你们比较痛的比较难的？

天宇(00:33:43): 所以。

sophiayuan(袁雪芬)(00:33:53): 希望我们能够来解决的对！就这样子。

天宇(00:33:56): 不好。呃，基本上的话。就是现在村干部的话，基本上就是在数据比对这一块的话，就是能 AI 方面能解决，还有就是呃收集到的表格能转化，呃，收集到的纸质版的表格能转化成就是呃，就是那个表格的话，就是电脑里里边的表格的话，就基本上能解决大问题了，其他方面的话，因为涉及到，呃一些东西不能上网的话，也也就没办法。

sophiayuan(袁雪芬)(00:34:19): 嗯嗯。

sophiayuan(袁雪芬)(00:34:30): 噢，唉，那我我问一下哪些是不能上网的，这些东西你可以后面也可以发给我，就是我我我我现在拉了个群哈。

天宇(00:34:35): 对吧。嗯嗯。

sophiayuan(袁雪芬)(00:34:40): 嗯，然后因为我们三个同学一起负责这件事情，然后嗯最近都在调研嘛。

天宇(00:34:44): 嗯嗯。

sophiayuan(袁雪芬)(00:34:49): 所以我们就我就拉了个群，然后你也可以把你的电脑里边嗯，包括你之前发给艾瑞斯啊，嗯，可以再发一次给我们，你电脑里的同事电脑里的，嗯，现在的有的表格，嗯，可能一个截图就表头的截图啊，表格能把我们最好表格的截图啊，表头的截图啊，然后你们现在电脑里总共有多少表格的那些截图都可以发给我们，就我们需我们现在是需要很多很多很多的。

天宇(00:34:49): 嗯嗯。嗯嗯。不是。嗯嗯。嗯嗯。对呀。嗯嗯。嗯嗯。不是。Thank. 

sophiayuan(袁雪芬)(00:35:16): 资料才能去？

天宇(00:35:18): 嗯嗯。

sophiayuan(袁雪芬)(00:35:19): 去让 AI 训练 AI 去做这件事情，所以就会。

天宇(00:35:22): 嗯嗯。

sophiayuan(袁雪芬)(00:35:23): 就尽量多的资料给我们。Thank. 

天宇(00:35:26): 呵呵。同同事那边的话，因为怎么说呢？呃，我这边可能就是就是收集到。不没以前多因为。

sophiayuan(袁雪芬)(00:35:37): 没没没关系，没关系，反正你有多少就给我们多少，特别是今年以来的，嗯，就今年以来的，你们每个月要收集的要更新的表，然后比如说临时性的，比如说，唉，突然有个受灾嘛，对吧，那受灾我不知道你们存不存在一个灾害情况，多个部门都找你们要数据的情况。

天宇(00:35:40): 嗯嗯。因为。嗯嗯。嗯嗯。嗯嗯。嗯嗯。嗯嗯。

sophiayuan(袁雪芬)(00:35:57): 那如果有的话。

天宇(00:35:57): 我们这边。我们这边基本上就是没没怎么有受受灾的情况。

sophiayuan(袁雪芬)(00:36:00): 嗯嗯。哦哦，比较富饶的地方。

天宇(00:36:05): Thank. 他他现在。对，受受灾的话，有一个就是全国的一个灾情，就是有个报送的一个系统，就是前段时间还进行了一个全国的，就是答问比武。

sophiayuan(袁雪芬)(00:36:14): 嗯嗯嗯。哦哦，好呀好呀！好呀。

天宇(00:36:20): 我我还得了一个二等全国二等奖。

sophiayuan(袁雪芬)(00:36:24): 行行行，就是我想说的是这些表格，这些截图，呃，你你你能你能判给我们的都发给我们啊，反正这些我们我们都是那个保密的，不会不会外传的，因为只用于我们自己项目研究啊。

天宇(00:36:32): 啊 ok ok。嗯嗯。我我知道，我知道，因为是。因为是这种情况，就是我就是这边就是提出来了，自己下届不干，然后如果就是过多的，就是有一些就是关系好的，可以，就是有有几个关系一般的，你如果去问他要表格的话，他会认为你别别有用心。

sophiayuan(袁雪芬)(00:36:49): 嗯嗯嗯。可以可以可以可以。对对对对对！哦哦，懂懂懂，反正那那你就你就你。

天宇(00:36:58): 我尽量收集嘛，我尽量收集。

sophiayuan(袁雪芬)(00:36:58): 把你能拿对对把把你能拿到的。好的，谢谢你，谢谢你，那我我们今天就先先聊到这，反正我我拉了个群，有问题我就随时找你，因为你你算是。

天宇(00:37:06): 嗯嗯。

sophiayuan(袁雪芬)(00:37:11): 我觉得算是两位里面对电脑最熟的。

天宇(00:37:16): 我算是田伟里边就是干实事的人，所以说我的表哥就是我，我有时间就是做的事情，表哥这方面就是电脑涉及到电脑这一块的东西会多一些。

sophiayuan(袁雪芬)(00:37:16): 然后我。哈哈。那好行行，那就今天就麻烦你了哈，然后有问题我们群里面再沟通，我也拉拉了个群。

天宇(00:37:31): 嗯嗯，没没事没事。Thank you. 嗯，好的好的行。

sophiayuan(袁雪芬)(00:37:36): 好的好的，谢谢谢谢拜拜！

天宇(00:37:38): 嗯嗯，好，拜拜！

sophiayuan(袁雪芬)(00:37:39): 嗯，拜拜。
