杨胜青(00:00:00): 一老一小的这种残疾的。
iriswong(王钰)(00:24:08): 嗯嗯嗯。

杨胜青(00:24:08): 那么另外还有人群也是民政这边的，那就是那种特殊群体，特殊人群。啊，残疾的呀！

iriswong(王钰)(00:24:15): 哦哦，特殊群体！

杨胜青(00:24:16): 不管的。对吧，那这些人也是要每个月要去填表？

iriswong(王钰)(00:24:17): 嗯嗯。嗯嗯嗯。就这一波呃，首先是人群未成年和特殊人群，每个月呢要去更新一下信息，这个信息呢，呃也也是拿纸来登记吗？

杨胜青(00:24:34): 嗯，也是指你拿直接说，最后你还得要来做统计统计报表，也就是我们所谓的发明制。台账。

iriswong(王钰)(00:24:42): 哦哦，就是呃，网格员每个月会把这个事儿进行一个登记，就特殊人群啊，未成年。

杨胜青(00:24:43): Thank. 

iriswong(王钰)(00:24:52): 特殊人群了解他什么，就说比如现在的健康状况啊，收入状况这些是吗？

杨胜青(00:24:57): 嗯，其收入基本上跟他没有什么关系了，因为特殊人群基本上有些都是属于。

iriswong(王钰)(00:25:01): 嗯嗯。

杨胜青(00:25:03): 有这个兜底了，民政兜底了，收入基本上他是没有其他额外收入了。是要去了解他的健康状况。啊，还有这个家庭在里面的时候有没有？

iriswong(王钰)(00:25:11): 嗯嗯。嗯嗯。嗯嗯嗯。

杨胜青(00:25:16): 啊，或者是有什么其它这种情况，比如说嗯，家里没人呐，或者是因为特殊什么摔跤或者什么东西就是。嗯嗯。

iriswong(王钰)(00:25:24): 受伤了。

杨胜青(00:25:25): 对，受伤以后没人照顾，可能死在家里面了，你不知道？

iriswong(王钰)(00:25:28): 哎哟，我的天呐哦！

杨胜青(00:25:29): 哼哼。就担心这些问题嘛！

iriswong(王钰)(00:25:31): 就每个月会去呃，这就必须入户去检查调查是吧？

杨胜青(00:25:36): 对对对。

iriswong(王钰)(00:25:37): 调查就是用用那个纸表，然后登记完了之后呢，再把这个收起来。

杨胜青(00:25:41): 对，用纸表还要去拍照。

iriswong(王钰)(00:25:44): 拍照，拍照。然然后这个这个到时候这些东西是交，就说网格员收集完了之后是给到村委是吗？嗯哼。

杨胜青(00:25:51): 对，直接在城轨城轨存档。但是我们村委会做一个统计表，我们这个月走了哪些哪些人？啊，入户了哪哪些人？他的状况是怎么样？你要对你要做成一个汇总的电子表，发给这个街道的民政部门。

iriswong(王钰)(00:26:00): 电子表。嗯嗯。嗯，然后相片再附上去是吧？

杨胜青(00:26:09): 对对嗯。

iriswong(王钰)(00:26:10): 哦，然后这种就是呃微信上发就行了哈。

杨胜青(00:26:15): 这种就微信发就可以了。微微信我们直接发。

iriswong(王钰)(00:26:19): 那这种要求的表是不是也是他们微信发给你们的？

杨胜青(00:26:23): 也是他们发呀，也是他们提供的这个表格。

iriswong(王钰)(00:26:26): 噢，就每年每年可能呃，如果有更新就给你们新的表格，但是必须要求每个月。

杨胜青(00:26:31): 对，有变更就给我们。

iriswong(王钰)(00:26:33): 啊，每个月把这个情况给反馈上来。

杨胜青(00:26:34): 嗯哼。对对对。

iriswong(王钰)(00:26:38): 啊，这交的都电子表？

杨胜青(00:26:40): 电子表。

iriswong(王钰)(00:26:41): 嗯，然后消防呢交的就纸表。

杨胜青(00:26:44): 嗯，消防的基本上是纸表加电子表。电子表他也要做一个电子表汇总表。我现在1000这个1800多户是吧？你有时候可能要求是每个月你要走完嘛？

iriswong(王钰)(00:26:54): 嗯嗯。嗯嗯嗯。

杨胜青(00:26:58): 要附附件，我们叫做附附件。啊，每一家每户你都要得见到。

iriswong(王钰)(00:27:04): 就是指指这个就叫做附件。你要要拍照吗？就是或者扫描这样附上去吗？还是就是纸质的就行了？

杨胜青(00:27:07): Hey. 嗯嗯。我们用纸质，当他们入户的时候，他们也是要。根据那个入户的这个情况，也要去做这个拍照的采集证明，你确实已经到那里。去开展这个这个工作。要留痕嘛，有些东西怎么说安全的东西它？

iriswong(王钰)(00:27:25): 哦哦哦。

杨胜青(00:27:28): 他因为现在这个群众嘛，大家都有一定的这个意识，你要是平常你不是不跟他宣传嘛？他又说你，你嘛，他又烦。但是一旦出事的时候，他就说你没有给他宣传，他就推脱这个政府。

iriswong(王钰)(00:27:37): 哦哦哦。

杨胜青(00:27:42): 呵呵，这样。

iriswong(王钰)(00:27:42): 嗯嗯嗯。

杨胜青(00:27:44): 哼哼。

iriswong(王钰)(00:27:45): 就是这个，比如安全巡查。纸张登记完了之后，然后还得有电子的相片，然后再加电子的汇总表一样，算是这个月要交的交付的东西是吧？

杨胜青(00:27:48): 嗯嗯。对对对对。对对对嗯。

iriswong(王钰)(00:28:00): 相片，然后相片也不需要附在，就打个包给他们就行了是吧？

杨胜青(00:28:04): 对，打包对相片来都打包整理打包就行。

iriswong(王钰)(00:28:06): 哦哦哦。然后就是未成年特殊群体，这些呢也是纸质登记，但最后你们会把它汇总成一个电子表。

杨胜青(00:28:16): 对对对，也消费不起。

iriswong(王钰)(00:28:17): 那他纸张登记和汇总的电子表是一样的吗？那格式？

杨胜青(00:28:21): 登记的那一块的话，它是按按一人一户的这种表去登记的。

iriswong(王钰)(00:28:24): And who. 

杨胜青(00:28:27): 但是我们做汇总的时候，我们是做汇总表。去做名字的发明。

iriswong(王钰)(00:28:30): 哦，也要拍照吧？

杨胜青(00:28:32): 台台账了。

iriswong(王钰)(00:28:34): 哦，然后也要拍照是吧？

杨胜青(00:28:35): 是都是拍照，但拍照的东西我们都是另外打包的嘛，但电子档我们是单独要做电子档一个表格给他们。

iriswong(王钰)(00:28:39): 嗯嗯嗯。噢噢，了解了解就是呃，基本上都是纸张加相片，再加一个汇总表。

杨胜青(00:28:50): 对对对。

iriswong(王钰)(00:28:50): 然后这个表就是你们手填，就根据这个纸张的这个东西，然后手动填到这个电子表去。

杨胜青(00:28:54): 对对它里面的内容，哪些项目项目来做勾选来做填写？

iriswong(王钰)(00:29:00): 哦哦哦，了解，那其实主要的表就这两大类了是吧，一个是脱贫，一个安全。

杨胜青(00:29:06): 对脱贫安全人口还有一个就是就业。

iriswong(王钰)(00:29:11): 就业就是所有的这全村的就业的情况是吗？

杨胜青(00:29:15): 所有人员的就业信息。

iriswong(王钰)(00:29:18): 哦，那这个就业信息的那个困难点是不是跟？脱贫户务工的那个采集？一样啊。

杨胜青(00:29:26): 对，就是物管采集。

iriswong(王钰)(00:29:26): 要挨个去。

杨胜青(00:29:28): 对，就是跟木工采集那个是一样的。

iriswong(王钰)(00:29:28): 哦哦哦。嗯，但但其实一般户又比较少，其实他们。

杨胜青(00:29:32): 对对。

iriswong(王钰)(00:29:35): 他们那个就比较简单点，核心都是在脱贫户这块的务工采集。

杨胜青(00:29:40): 大部分我们都是都是去录它的，这个自然增减的一些变化可能填一些表，剩下的没有自然增减，就是我们用它的基础信息就行了。

iriswong(王钰)(00:29:50): 噢，就他哪怕他换了，反正他没来登记，其实你们也不太需要再去变更。

杨胜青(00:29:50): 嗯嗯嗯。对不对，不用刻意去去做他的就业跟踪这样子。

iriswong(王钰)(00:29:59): 噢噢，唉，那他这个这个就业的这个信息跟那个务工信息交是上级部门交的，是一个部门呢？还是不同的？哦，那个。

杨胜青(00:30:08): 嗯，其实我们窗口他是我们对街道来讲，我们只是一个窗口。

iriswong(王钰)(00:30:09): 脱贫是给国办是吧？

杨胜青(00:30:14): 但是实际窗口的话，接到了他要对几个窗口。

iriswong(王钰)(00:30:14): 哦哦哦。

杨胜青(00:30:18): 一个是人设的？

iriswong(王钰)(00:30:18): 哦哦哦。嗯嗯。

杨胜青(00:30:20): 有需求，还有一个是呃农业农村局。啊，还有一个是移民局。

iriswong(王钰)(00:30:28): 嗯嗯。

杨胜青(00:30:28): 啊，这三个部门他们是必须要报给他们的。

iriswong(王钰)(00:30:32): 哦，就就业要报给这三个呃，基础人口信息要报给这三个。

杨胜青(00:30:34): 对对对对。

iriswong(王钰)(00:30:36): 噢，那这个比如说其实是街道去报，你们其实所有的表都来自于街，就是所有的任务来自于街道，上交也来自给到街道就行了是吧？

杨胜青(00:30:36): 对对。嗯嗯。对对对。对对对，我们给街道，我们只不能直接给其他部门。

iriswong(王钰)(00:30:51): 哦，就你们不用对接其他部门？

杨胜青(00:30:54): 对对。

iriswong(王钰)(00:30:55): 哦，了解。那呃给到给到街道，其实就是刚才说的就是呃保密的就 UU 盘送过去非保密的就是表格，然后表格基本上也是呃，就脱贫户这个东西比较多，因为他要各种的证明都要有，然后还给他建花名册，花名册就是你们整的那个表格对吧？证明其实是他们给的，嗯，然后还有个申请表，这个申请表是指。

杨胜青(00:31:12): 对对。对台账。对对。

iriswong(王钰)(00:31:21): 你们帮他填的表吗？

杨胜青(00:31:22): 身体。申请表按按道理的是要他们本人，但现在他没有办法本人嘛，你得帮他去干。

iriswong(王钰)(00:31:31): 嗯嗯嗯。

杨胜青(00:31:31): 最后他们跟他们说，你确认一下填他的名字这样子而已。

iriswong(王钰)(00:31:36): 手填就是你们帮他做一个表，然后这个表打印出来让他签字确认。

杨胜青(00:31:42): 对，按正常的流程是这样子的，但人他在外面你怎么签，他没办法签嘛？

iriswong(王钰)(00:31:45): 哦哦。啊对啊，他这这怎么办呢？

杨胜青(00:31:50): 所以就是我们自己帮他代签嘛，告诉他，我已经帮你申请。哼哼。

iriswong(王钰)(00:31:55): 哇，你们真的是老天赏饭还把饭喂到口里啊？

杨胜青(00:32:00): 这是没办法了，听你的话。

iriswong(王钰)(00:32:05): 了解了那那那我大概知道了，就总总结起来，卧龙社区的那个表就是三大类。然后其实核心百分之七八十都在脱贫户上面的这个台账的建立，而且每个月都要去更新，还要定期去监测，而且他这个监测还挺重要的，因为跟他的申请补贴有关，以及他每年交各种医疗医保相关。

杨胜青(00:32:13): 是不是。

iriswong(王钰)(00:32:30): 嗯，然后采集填表就还简单点，就收集这玩意儿，可能花很多时间，你们要挨个打电话，嗯嗯。

杨胜青(00:32:37): 对对。嗯嗯。

iriswong(王钰)(00:32:38): 对，就核核心精力就用到这儿了，然后其他那个可能都还比较简单一些，还比较好好的操作哦，然后解好，唉，那那个呃，杨主任您觉得就是。

杨胜青(00:32:42): 对对。对对对。

iriswong(王钰)(00:32:52): 嗯，你最希望能改善的是哪个部分？就是如果跟填表有关的话。

杨胜青(00:32:58): 填表有关的，现在我们填的这个信息啊，还是还是就业和这个追踪这个特殊群体的这一块，这个信息填写还是像这个下面的基层网格员的工作量还是比较大？

iriswong(王钰)(00:33:02): 嗯嗯。嗯嗯嗯。

杨胜青(00:33:13): 啊，其实如果是他真的是能够做到啊，有因为我们说实在话，其实政府他也想做这种 app。但是政府又严格要求你不能做太多的 APP，就怕这个给这个包括地方政府开发的这个能力嘛。啊，他这个资金也造成压力嘛？

iriswong(王钰)(00:33:28): 嗯嗯嗯。

杨胜青(00:33:30): 另外就是 APP 太多了嘛，到时候就是很难管嘛！

iriswong(王钰)(00:33:30): 嗯，对对。

杨胜青(00:33:33): 是这个问题吗？

iriswong(王钰)(00:33:34): 嗯嗯嗯。嗯嗯嗯。

杨胜青(00:33:35): 啊，所以实际早期之前我们它有各个部门也搞自己的这个 app 过来，我们在上面去报，但是这个有一个问题就是。呃，信息不共享。知道吧。啊信息不共享就造成一个问题，我这个部门。我可能就跟另外一个部门，它的表格里面啊，大部分内容应该是差不多换汤不换药。啊，或者有一个名称换了而已。啊，另外就是要不然就是根据你这个这个单位或部门的时候，你自己特殊要求你的那一个内容。啊，那基层就就什么东西你都得干。对吧。比如人社有人社的，民政，有民政的安全，有安全的，但是他基础信息是一致的。

iriswong(王钰)(00:34:11): 嗯嗯。

杨胜青(00:34:16): 因为我的人口信息，基础信息我是一致的嘛？

iriswong(王钰)(00:34:17): 哦哦哦。对对对。

杨胜青(00:34:20): 对不对。但是变成是我，我人人设我得爆一套是吧？跟你就业相关的，那我实际上我就是填就业的信息而已。那民政呢？也是这些人？

iriswong(王钰)(00:34:30): 但是我还是得把基础信息给你填一遍哦！

杨胜青(00:34:33): 对，我还是要得去填一次这个基基础信息。

iriswong(王钰)(00:34:37): 嗯嗯嗯嗯嗯。

杨胜青(00:34:38): 最难的是最麻烦的嘛，你要填身份证号码？要点这个电话号码，要去写房号，写名字。实际这东西都是固定好的，那没有办法，那你每一次你都得去干一次。

iriswong(王钰)(00:34:48): 嗯嗯。噢，就就是呃，可能报的表有基础信息是一样的，但是因为这个表呢，可能诉求有点点不同，所以他的人可能还是有点。

杨胜青(00:34:51): 对对。对每个部门他的诉求不一样，不一样的时候他就增加，可能他的一。

iriswong(王钰)(00:35:03): 哦他。

杨胜青(00:35:06): 他有可能他的表格啊，虽然可能就是我，我人设可能叫这种名称，但你名称可能叫另外一种名称。可能内容我可以可以用这个内容同同时去填的。

iriswong(王钰)(00:35:15): 内容一样。

杨胜青(00:35:17): 啊，那当然也有差也有差异性的，这个栏位也有差异性的栏位，但是我也要得填前面的基础信息。

iriswong(王钰)(00:35:19): 啊，叫法不同。嗯嗯。嗯嗯嗯嗯嗯。

杨胜青(00:35:26): 你好。

iriswong(王钰)(00:35:27): 了解就基础信息一样，但是可能叫法不一样，但是你你你得满足这个格式，把它填了。

杨胜青(00:35:31): 对对对。对，因为他上级部门你又不能去改他的格式。

iriswong(王钰)(00:35:34): 啊，完了再增加那一点点。哦哦，对，是的是的，因为它也是有要汇总的格式改了它就汇总不了嗯。

杨胜青(00:35:45): 对对对对。

iriswong(王钰)(00:35:46): 嗯，所以其实采集信息刚刚说的就是采集信息，其实有很多的难度跟踪，然后现在说的其实就是采集回来之后你要整理到给不同的表，又又又很很多重复的内容，有重复的内容，你还得重复的按照这个格式去填。

杨胜青(00:35:53): 嗯嗯。对对。对，你要整理。对，所以我。我们这边的时候为什么我会经常会那么忙是吧，有时候会找，因为我很多，因为我要负责统计这一块。

iriswong(王钰)(00:36:06): 嗯嗯嗯。

杨胜青(00:36:12): 下面的网格员电脑不熟，他搞不定。

iriswong(王钰)(00:36:15): 嗯嗯。

杨胜青(00:36:16): 因为什么你要去用公式要去？到那个那个我们最初的基础信息里面去，你要去拉那些信息回来好，你要去拉我十个网格20个网格的信息来做合并。

iriswong(王钰)(00:36:24): 嗯嗯。

杨胜青(00:36:28): 呵呵呵呵。

iriswong(王钰)(00:36:29): 听起来就很复杂哦，你有几个网格员呐？

杨胜青(00:36:29): 知道吧。对，你要去做这个合并是吧？因为我。

iriswong(王钰)(00:36:34): 哦哦。

杨胜青(00:36:35): 11个网格。

iriswong(王钰)(00:36:36): 哦哦哦11张表咯！

杨胜青(00:36:39): 对吧，11个网格，那么至少就11张表，那每一个网格差不多有300来户。

iriswong(王钰)(00:36:45): 嗯嗯嗯。

杨胜青(00:36:46): 对吧。那300多户的时候，那按人口来算的时候，如果按人头。呃，按就业那一块？比如说我是有500个劳动力，那么500个劳动力他他就得填。呃500个表。他自己要收完，录完他又没有这个能力，所以我要去不停的去给他去导信息。

iriswong(王钰)(00:37:03): 嗯嗯。嗯嗯。

杨胜青(00:37:10): 所以我们刚才不是说他没有基础的这个这个数据库来做做这个这个数据的共享。所以造成你的时候你就不停的要去。

iriswong(王钰)(00:37:16): 嗯嗯嗯。

杨胜青(00:37:19): 做一些重复，所以现在的领导很多领导下来啊，有没有减负啊？有没有减负，我们也不好意思说什么东西怎么减负。

iriswong(王钰)(00:37:28): 噢噢噢，了解，唉，那那个网格员他们怎么给你信息啊，就是刚才说的就就是登记完手写的那个一堆给到给到这个，呃，你们这边村委。

杨胜青(00:37:30): Thank. 他们登记完他们自己，他们自己也要去录录入报表，入报表的时候，我是自己做了一个在线的报表给他们。所以我把信息已经先导到这个总表里面去了。

iriswong(王钰)(00:37:49): 哦哦。哦，然后他们就按按照那个。

杨胜青(00:37:55): 这样反正就是。

iriswong(王钰)(00:37:56): 去往里填。

杨胜青(00:37:57): 对，往里面去填，那这样的话我能才能保证我这边时间才能来得及，否则我一个人又去收，或者又去这个整个不表，那基本上你一天你都干不了一个网格，怎么说他十几个人。

iriswong(王钰)(00:38:05): 哦哦哦。所所以往。哦，所所以网格员其实还是能用电脑的，但是他在登记的时候还是手手填。

杨胜青(00:38:15): 对，他只是不熟。

iriswong(王钰)(00:38:17): 哦，这手填。

杨胜青(00:38:17): 对不熟，我把这个基础信息可能给他。搞清，比如说像那个那个。呃，就业信息这块是吧，是全国各地都有的。

iriswong(王钰)(00:38:26): 嗯嗯嗯。

杨胜青(00:38:26): 所以我是建了基础的这个这个地址信息数据库了。

iriswong(王钰)(00:38:30): 嗯嗯嗯。

杨胜青(00:38:31): 他们在的时候他们只要去选就好了，就不用。

iriswong(王钰)(00:38:34): 嗯嗯嗯嗯。

杨胜青(00:38:36): 这样做的。只能逼着自己要把做给他们简便他们，要不然。

iriswong(王钰)(00:38:40): 好体贴。呵呵呵。

杨胜青(00:38:41): 对，他要一天他也录不了几个东西。几百号人他怎么能？

iriswong(王钰)(00:38:45): 哦哦哦。

杨胜青(00:38:47): 是吧，你要比如说我要去浙江敲完浙江，我要去敲广东。所以我就做成下拉的方式了，直接采取那个数据里面的来源。

iriswong(王钰)(00:38:53): 哦哦哦。

杨胜青(00:38:58): 嗯，给他们去做下拉了去做，选择了，无非他就填了一个那个企业的单位。

iriswong(王钰)(00:38:58): 哦哦。嗯嗯，那其实。

杨胜青(00:39:04): 啊单位名称？

iriswong(王钰)(00:39:05): 即便是这样，其实他的工作量还是很大，因为他要逐户去。

杨胜青(00:39:09): 是很大还是很大？

iriswong(王钰)(00:39:11): 对，他逐户收的时候还是手手写，然后把手写的东西搬回呃那个办公室。

杨胜青(00:39:14): 对对对。对对对对，搬到办公室你才能做，你在你在那个手机上，你在入户，你没办法做啊！

iriswong(王钰)(00:39:18): 输到电脑。哦哦。

杨胜青(00:39:23): 所以我们之前才会说，如果是我们小程序的时候，他确实这样的话，他可以直接在那里做采集。

iriswong(王钰)(00:39:23): 嗯嗯嗯。

杨胜青(00:39:29): 回来的时候导出。这样就很好了。

iriswong(王钰)(00:39:32): 我想象一下，他去到这有了之后，然后在手机上。

杨胜青(00:39:33): 这样的。Thank. 

iriswong(王钰)(00:39:36): 点点一下，用语音说一下，唉，这户什么什么情况，然后 AI 自动帮他填好。

杨胜青(00:39:38): 可以。对，甚至甚甚至他用户的一些图片我们都可以直接上传，最后一导出来，我连数据连图片我都可以一次性打包。

iriswong(王钰)(00:39:46): 开心了嚯。了解了解好，我知道了，我知道需求了。诶诶，杨主任啊！

杨胜青(00:39:53): 我们另外另外有一个分是什么？是党建的那一块？

iriswong(王钰)(00:39:56): 嗯嗯。

杨胜青(00:39:57): 但党建这一块就真的没办法，因为这个东西就是党的东西，我们又不能做公开，所以就是那基本上撇开了。

iriswong(王钰)(00:39:57): 哦哦哦。噢，噢，了解了解，唉，那个呃，杨主任方不方便？嗯，就是看看呃，您刚刚提到的这些表啊，呃，能不能就是呃，如果比如有敏感信息可以去掉啊，然后把这个电子表发给我们，我们来研究一下，看怎么把这个东西做成功能。

杨胜青(00:40:05): 嗯嗯。

杨胜青(00:40:22): 你到时候明天我去发一份那个找找一份那个。做一个空表嘛，我我给你们把栏位给你们。

iriswong(王钰)(00:40:27): 好好好好呀好呀！

杨胜青(00:40:29): 嗯嗯。

iriswong(王钰)(00:40:29): 好呀，感谢感谢！还有您刚刚说你你你做成在线表的那个啊，啊，如果方便可以就是导个副本给我看一看嘛，这样子我能更清楚了解到你们这个真实的填表情境。

杨胜青(00:40:42): 到时候我把那个表格直接给你，它里面就已经是有在里面。

iriswong(王钰)(00:40:46): 噢，好啊好啊好啊，感谢感谢，感谢啊，我这边了解挺多的了，唉，也占用您挺多时间，唉，我我我另外一个同事肖曼也在线上悠悠噢，她没有噢，我们的掌握的信息挺多的，非常感谢你噢！

杨胜青(00:40:49): 有的。

杨胜青(00:41:00): 哦哦，不客气啊！

iriswong(王钰)(00:41:01): 嗯，好好好那回。

杨胜青(00:41:01): 你们也在帮我们？哼哼。

iriswong(王钰)(00:41:03): 对我我我其实我们还是需要从您的实际这个描述才知道噢，原来你们真正的痛苦点是在这里。啊，凭空想还是想不出来的？

杨胜青(00:41:11): 对的。只是像农村哈，农村村一级的，他们也有表，但是他们表没这么复杂。

iriswong(王钰)(00:41:16): 嗯嗯。

杨胜青(00:41:20): 啊，但还有。

iriswong(王钰)(00:41:20): 是吗？我我我我今天问到了一个书记，吓死我了。451年四五百张表，然后还有什么耕地的那个？天呐，要要拍什么？

杨胜青(00:41:29): 对，他们那边的话就是这种表，我们这边。

iriswong(王钰)(00:41:31): 拍相片什么的，还要无人机跑到山上拍？

杨胜青(00:41:33): 所以他要做头班嘛？

iriswong(王钰)(00:41:35): 啊哦对对，叫叫叫图斑哦哦哦，你们不用是吧？

杨胜青(00:41:36): 对，他要做头班。嗯嗯。因为我们是属于城市社区，没有土地的，你怎么做？

iriswong(王钰)(00:41:43): 哦对对对对啊，是是是是就没有嗯，跟他们的痛点不一样。

杨胜青(00:41:44): 嘿嘿。嘿嘿。嘿嘿。对对，所以他们有山林嘛，有土地嘛，所以他的填表就可能很多咯。

iriswong(王钰)(00:41:53): 对呀，很多很多。

杨胜青(00:41:53): 嗯嗯。

iriswong(王钰)(00:41:55): 噢噢，那知道，但但痛点都很接近，就核心的那个痛点都是很接近。好，那谢谢杨主任噢！

杨胜青(00:42:00): 对对对。好，谢谢，不客气！

iriswong(王钰)(00:42:03): 哎呀。嗯，好，那先这样，拜拜。

杨胜青(00:42:06): 好，拜拜。

iriswong(王钰)(00:42:06): 拜拜。

maixiao(肖迈)(00:42:06): 欢迎感谢。

杨胜青(00:42:08): 嗯嗯，好不客气。
