恒888(00:00:00): 上面操作还是这个上面操作的？
恒888(00:23:49): 呃，有这个表格我们是会自己做这个电子表格，因为现在。

maixiao(肖迈)(00:23:50): 这个只去了100张？不是一下子的是1000单是覆盖，嗯嗯，情况一下，他去完券之后，因为是针对我整个的结果吧。

恒888(00:23:53): 呃，派出所那边就是户籍管理那里那里哈，他们是不会随便？那个表和电子档是随便发给你的。其实以户口以派出所的是最清楚的，但是就是现在的人口嘛，他迁进迁出他也不会到你们村上来报备。

maixiao(肖迈)(00:24:03): 然后把脱粉就给我去完全。

恒888(00:24:08): 他直接就在派出所去处理了，然后所以导致我们村上的，如果你不及时的更新的话，他的家底是不清的。

maixiao(肖迈)(00:24:15): 噢，了解那这种，比如说自己维护的这个表格的话，您大家就是可能村上会多久去维护一次，或者去更新一次呢？还是说到。

恒888(00:24:24): 基本上我们我们我因为我也在自己做这个表格，就是死亡的话，我会备注他死亡了，比如说出生了一个小孩，那他户口上在我这里如果知道了就会在上面，但是我不知道的话，他也我也就没有录上去啊。

maixiao(肖迈)(00:24:26): 那个请求传递给你？啊，然后嗯系统？啊，那个完成这个传递的那个时确认这个时机之后呢，嗯，这个信息这个链接就展示给使用。

恒888(00:24:40): 还有就是比如说我们涉及的基本情况。

maixiao(肖迈)(00:24:40): 噢，我了解噢，了解。

恒888(00:24:43): 电话号码那些他没有及时的更新，那也是不知道的呀！还有电话号码，他这个电话号码很多，有的时候我们再打的是空号，那些我们也不知道的呀。

maixiao(肖迈)(00:24:54):  Ok 了解可能就是说呃，比如说就是一般的，如果你答咱们知道的，然后就给他更新一下，那如果不知道的话，可能要到下一次有任务来的时候，或者有表格需要收集的时候再去，对吗？嗯，好的，了解好的没问题，然后呃我觉得到现在为止您说的非常有用，对，然后呃我想问一下，就是比如说整理好表格之后一般是怎么提交上去啊？是通过线上的系统呢？还是打印出来？

恒888(00:25:26): 呃，我们一般就是一般真正的要求的话就是电子表格就是传给他们嘛，传你们，我们会会会有群，会有会有私人的微信或者那那些转转发给他们，还有就是我们就是电子表格也会交给他。

maixiao(肖迈)(00:25:33): 嗯嗯。哦，就是呃。

恒888(00:25:42): 就是就是纸质版噢，纸质版我说错了，就是纸质导出来也要盖章的，有，有的很多东西是要。

maixiao(肖迈)(00:25:45): 哦，对哦。噢，纸质版盖章就直接就是发呃拍照发给他们，还是说把这个原文件发给他呀？

恒888(00:25:55): 嗯，一般我们是离镇上不远嘛，一般我们是带过去。

maixiao(肖迈)(00:25:55): 对，是的是的。嗯，好的。

恒888(00:26:00): 也其其实如果遇到这种情况很突击的话，也会照相给他，然后或者说你可以传真嘛。

maixiao(肖迈)(00:26:01): 嘿嘿。

恒888(00:26:06): 这些都可以的。

maixiao(肖迈)(00:26:06): 嗯，好的了解，那比如说您在整个的信息的收集和整理和这个上报的这个整个人的流程中，您觉得可能最麻烦或者是最困难的环节，或者是最需要改善的环节是什么？可以跟我们讲一下这一侧就是我们首先发起人的一个，呃。

恒888(00:26:07): 哎呦喂。

恒888(00:26:23): 嗯，我觉得都还挺好的。就是就是。

maixiao(肖迈)(00:26:27): 权益嘛，发起了一个权益，然后呢？

恒888(00:26:27): 呃，因为我们基层干部嘛，他因为也不一定是就是说很。

maixiao(肖迈)(00:26:30): 在福利社发起了这个群，然后呢？

恒888(00:26:32): 很，他的学历很高嘛，就是很多。

maixiao(肖迈)(00:26:33): 村庄使用他的助力金进行这个兑换，他做了村庄做了好事，或者说利益这个效率肯定用的好平台会呃，这个政府呃会去授予他一些助呃助力金嘛或者激励嘛，然后他使用这个助力金去进行这个权益的这个申领兑换的。

恒888(00:26:34): 目前我们的我包括我们村上的一些村干部嘛，他们很多。就是一些表格处理当中一些比较复杂一点的那种。就说。也他们也不怎么会，我觉得可以开展一些这样的这样的培训，比如说。比如说减。那种比如说函数之类的。

maixiao(肖迈)(00:26:52): 那他嗯兑换的时候呢，他就会输入他的一些背景，嗯，以及嗯，好的，感谢感谢，那其实差不多我们今天的问题就到这里，然后我想呃，请您就是看能不能辛苦，或者是方便把您刚提到的一些表格，日常整理工作的一些表格，就是可以去掉一些敏感信息，就有个表头的这种电子版，然后可不可以分享给我们看一下，然后看一下大家具体工作中的一些表格会是什么样子。

恒888(00:26:52): 比如比较适用的，以以最接地气的那种培训来给我们。一些帮助。

恒888(00:27:11): 哈哈。

maixiao(肖迈)(00:27:21): 子的相关辅助证是不能够核实的。

恒888(00:27:24): 嗯嗯。这个我还我还不知道哪哪个表可以。

maixiao(肖迈)(00:27:25): 当然在受众信息那里呃，没关系，嗯，对对对对，做嗯，校验和他的年呃，年龄啊，性别啊，是不是一开始符合这个权益本身的一些要求，比如说设置了一些地域的。

恒888(00:27:28): 我我先比如说我现在遇到的一个难点哈，就是说就是说我的一个表格是最基本的那种。比如说我们的户主哈，就是下看你们这个有没有，因为我觉得这种，因为之前他们有处理过的，就比如说他一个一个户，一个户头上面有有五个人。

maixiao(肖迈)(00:27:45): 什么样的一些呃之类的，做一些基础，这一块会系统做一些调研，在里面的探讨，说工作叫。

恒888(00:27:47): 比如五个人，但是我就分别就是这样子写姓名，然后这样子谁谁谁谁谁，然后他户主户号也有了的哈。

maixiao(肖迈)(00:27:54): 在在在输在他输入收短信息的时候。

恒888(00:27:54): 然后他户主是哪个配偶是哪个，假如说我今天要查一个人的表格，我当中当当中提到一个名字。

maixiao(肖迈)(00:27:59): 按左边继续回到数据栏。

恒888(00:28:02): 呃，或者一个身份证号码？

maixiao(肖迈)(00:28:03): 呃，都会平台也会做一次二次的审批。

恒888(00:28:04): 然后我他的那个附的那个信息他就会出来。

maixiao(肖迈)(00:28:07): 其实嗯，主要去那个生产意识的那条内容。

恒888(00:28:08): 它就会。当然，我在总表当中一个一个的这样子操作。肯定肯定我们可以在上面去查找，就是我们的大大规模当中使用的时候，比如说。

maixiao(肖迈)(00:28:13): 就是你知道我们会让村里面进行这个公开的表决决议嘛，主要是审核一下那个宣传的意识的内容是不是？

恒888(00:28:19): 我查这个人。查这个人，然后他他他的库里面有几个人，他一下子就给我出来了，然后而且整成一个大规模的这样的一个操作，看能不能够这个解决，我觉得这个难点，我觉得我比我工作当中哈。

maixiao(肖迈)(00:28:25): 啊是这个，然后两个都通过了。只要过公组织通过了，运营通过了就是正常的进入会议室。

恒888(00:28:33): 就是这种，如果能够操作的话，也可以解决我们一个难题。

maixiao(肖迈)(00:28:34): 村庄正常的进入一区一顺。嗯，好的，收到了解，好的，我们根据您的这个反馈可以再我们再加来看一看，然后对，就刚说的那个表格就是无论什么表格都可以，只要就是没有这些居民的一些敏感的信息，然后什么的您都可以直接发给我们空表什么的，之前做过的和没做过的都可以发给我们哇，感谢感谢感谢！

恒888(00:28:56): 好的，我我就改重新做一个表发给你吧！嗯嗯。嗯嗯。

maixiao(肖迈)(00:29:02): 嗯，好的好的对对，多个也可以全丢给我们，没问题，嗯，好。

恒888(00:29:02): 好的。你好。嗯嗯嗯。好的嗯。

maixiao(肖迈)(00:29:08): 感谢感谢！辛苦了，辛苦了！

恒888(00:29:09): 嗯嗯，好。

maixiao(肖迈)(00:29:11): 嗯，好好，非常有用，感谢您！

恒888(00:29:14): 好，再见。

maixiao(肖迈)(00:29:15): 嗯嗯，拜拜。

恒888(00:29:16): 对呀。

maixiao(肖迈)(00:29:17): 对，整体流程是是这样子的。

恒888(00:29:17): 拜拜。

maixiao(肖迈)(00:29:20): Is that. 
