maixiao(肖迈)(00:01:06): 曾书记你好，唉，你好，郑书记好，我们来打扰您了，我们三个都在一起，对对对！
maixiao(肖迈)(00:34:23): 写文字的就是表方面的话，可能就是那个 word 还是少一些，但其实有是吧？

曾凡江(00:34:33): 有有对。

maixiao(肖迈)(00:34:34): 好好，然后收到表之后，下一步就比如这个表一般都是到您这儿是吧？到书记这儿，然后由您再去往下分就是派任务吗？

曾凡江(00:34:46): 一般呢是到我这里，还有呢，比如说我们专门分的有工，就是比如说我们农业农村有我们副副主任对接这个农办。他可能就会发跟他，但是我们村上的话老干部比较多，我们五个干部有三个老干部从来不放电脑的。基本上到他们手机喷到我这里来了。

maixiao(肖迈)(00:35:11): 唉，那就就是收到这个任务呢，就这个任务在往下发里面是是否会有分两种情况，一种呢，必须得往下转让，大家先收集，还有一种就不用往下转，就是村委自己就能填完。是不是可以按这两类分？

曾凡江(00:35:33): 对。

maixiao(肖迈)(00:35:34): 那往下收集的这个比例有多少？

曾凡江(00:35:40): 一半一半吧应该。

maixiao(肖迈)(00:35:43): 就是50%你们填完就完了，或者说这个东西可能都不能通过下面的人采集，需要村村委挨个下去去去登记什么才能完成。

曾凡江(00:35:54): 对，现在比如说涉及到神龙的，应该说要神龙这一块资金采神龙这一块才直接到了，到达了小组很多东西呢，因为我们一个村的干部。

maixiao(肖迈)(00:35:55): 好。

曾凡江(00:36:08): 村子不是很大，我们对全村的基本情况必须得烂于心，你自己作为干部的话，你自己必须要了解这一块工作，你你你这工作才轻松得了。所以所以我们现在出现的问题就是会电脑的到我们这里来没用，他是他心里没有，没有底，他做一个东西，他他一个人他都完成不了这个表格。

maixiao(肖迈)(00:36:32): 他也不知道对错是吧？

曾凡江(00:36:33): 找一个年纪大的，他不会电脑完完完不成这个工作。

maixiao(肖迈)(00:36:39): 就。

曾凡江(00:36:41): 就相当于业务工作，两个人干，那比如说我对全身又了解，又会点电脑，那么这个工作我做起来就<笑声>比较轻松，他就是这样的，所以所以村上找工作，我们政府就是你那表完不成给你派两个大学生下来，你们就干要多少，我就调多少大学生，他其实下来是没有用的。大学生坐在电脑旁边干什么呢？他不知道干什么。

maixiao(肖迈)(00:36:46): 你好宝贝。就是他得，就说他是不是得心里面就有有有有知道说，唉，这个信息可能要从哪个表里提，这个信息可能我已经知道了，我自己就填了。是要有这种这种经验，这这这种就是认知才有办法把这活干快。

曾凡江(00:37:12): 对对对。对，你在村上如果是干文文书这块工作的话，你没在村上干个三五两年，你这工作你根本就干，干不走，干了就累，累死你都干不好。

maixiao(肖迈)(00:37:23): 要这要求好高。那。

曾凡江(00:37:28): <笑声>不是他本来他们要的东西太杂了，太太多太细的东西了。

maixiao(肖迈)(00:37:34): 就是像刚刚说如果要分下去让下面的人填的话，大部分是属于社农类的，才会让小组长填。

曾凡江(00:37:44): 对对对。

maixiao(肖迈)(00:37:45): 由非色农的，比如说什么住建局应急的那些可能就得你们自己来填是吧？

曾凡江(00:37:51): 对，我们自己就比如说你受灾了，哪一哪一个农户受灾了，你这个你也清楚的，比如说你今年你全村要规划什么项目，那我们平时在开会的话，队长就提了，我们就记在心里面，马上就把这个项目报上去，你不光报这个项目，你现在我们干部基本上要全能，就是你这个项目建在哪里，用什么材料建，然后多少钱？这个这个这个单价怎么分都要由我们干部先出报报上去的。

maixiao(肖迈)(00:38:18): 那这些其实就出方案了是吧？就这种相当于叫出方案了。

曾凡江(00:38:23): 对，基本上初步的方案都是由我们村长在在出了说了，然后他们才去找审计，找预算，找产品才去做这个东西了，第一步是我们开始种上去的。

maixiao(肖迈)(00:38:35): 那这个书是也是那个表的形式呢？还是说就填就完整的写一个方案？

曾凡江(00:38:43): 不，这是表的形式，比如说我，我表示这样的我要打一条生产路，对吧，从哪个地方到哪里多宽的，用什么标号的水泥打多厚多高，然后这个大概预算多少钱一公里？

maixiao(肖迈)(00:38:45): 报表的形式。

曾凡江(00:38:58): 这个是必须要有我们做的。

maixiao(肖迈)(00:38:59): 这种就叫做报项目？

曾凡江(00:39:02): 然后我们比如说报了30万资金，他们就根据这30万资金做预算在做，在审计这样干的。

maixiao(肖迈)(00:39:08): 了解了解，那这种还是得得，就是脑子里有数才，就这种都不用去收集了，就脑子里有数就直接填了。

曾凡江(00:39:17): 对对对。

maixiao(肖迈)(00:39:19): 好，那就是那个刚刚了解到说收集这个数据给给小组长的话，其实也只能让他们收一点，比如说11些人民之类的，然后可能发个语音或者微信发发几个字或者手填给你们。就是。

曾凡江(00:39:37): 只能让他们说点简单的，如果要急的表或者是太复杂的指望不了，指望不了，都都只能这个村干部亲自下去做了。

maixiao(肖迈)(00:39:44): 那其实从收集上来说，除去涉农之外的大部分表，其实还是村委这里来解决的。

曾凡江(00:39:53): 对，大部分就神龙神龙的也是从身上解决，只是基础信息是从他们那里来的。还是从村村上完成上去的？

maixiao(肖迈)(00:40:01): 唉，那这个多吗？就是比如说基础信息可能是一年问一次就够了，还是说平均一个月都都要找他们收集一次。

曾凡江(00:40:12): 小组了了。应该是一个月有一次吧，你至至少。一那个至至少一个月是有一次的。

maixiao(肖迈)(00:40:21): 因为比如说问外出务工的应该是不是就是问小组长？

曾凡江(00:40:27): 对外出务工是要问小组长的。种种这个多少玉米多，这个多少水稻，这些小猪长？

maixiao(肖迈)(00:40:33): 种了多少玉米，收了多少层是吧？这种是要问小组长去调研的。

曾凡江(00:40:40): 对，需要小组长去干的这些就就就需要他们去做。

maixiao(肖迈)(00:40:44): 就主要是这些了，其他可能就大部分还是你们来做了是吧？

曾凡江(00:40:50): 其他比如说还有，比如说你，我们要调调查，比如说做那个厕所革命，你们主要要哪些要报这些农户也要他们报上来多少户。这些基础信息要要他们报上来的。

maixiao(肖迈)(00:41:04): 就是跟户有关的，就当地户有关的一些基础信息，就他们来收，然后其他的那些就是比如刚刚提到的那种，是不是核实地块那个是是否有撂荒地什么之类的那个，是吧？那就是村委挨个去。针对上面给的2000多张相片，挨个去报对应的地块的情况。

曾凡江(00:41:31): 上面是不是跟跟相片是跟那个奥维地图就上面点上去就密密麻麻的，全部是那个编号，上面就跟那个编号，我们要对应编号做照片。核实一个地块，一个地块的去核它的现状。

maixiao(肖迈)(00:41:47): 这个核实是直接 APP 提交呢？还是单独你们要制表？

曾凡江(00:41:51): 制表。在表里面做。

maixiao(肖迈)(00:41:55): 那那我分分个类，就是现在听起来就是这个表，有一部分可能就是填一下文字，填一下数据的这类，对吧？

曾凡江(00:42:07): 对。

maixiao(肖迈)(00:42:08): 然后还有一类就刚刚说的一张张图片往上贴的也是 excel 表，然后把把把这种贴了图片的 excel 表往上交是吧？

曾凡江(00:42:10): 发图片。对的。

maixiao(肖迈)(00:42:18): 这种多久一次一年？

曾凡江(00:42:22): 这个都没有具体时间了，反正有就是应该说一个月一年不止一次，像这种提交的。

maixiao(肖迈)(00:42:25): 一年一次。

曾凡江(00:42:34): 或者。你平平均的话，你一个月都有一次，至少是十来次，是有的，像提交这种表。

maixiao(肖迈)(00:42:40): 唉，那这个做一次要多长时间呢？

曾凡江(00:42:43): 比如说像像我们做，就是做这个耕地还是这个要求的话，就是一个星期要做完，我们就全员出动，还动了无人机都干过。

maixiao(肖迈)(00:42:53): 当地好吃。哇，那么高级你填表也挺高级的，就是。

曾凡江(00:43:01): 这个太远了，你没办法，大山顶上我爬上去，我一天都回不来一个图，那我们就出钱，请无人机那个从天上飞下来，把照片拍下来。我们就是凭自己的感觉，那个地方是没有硬化的，他是总的是那这个什么数填上去没办法，只能这样干了，哈哈。

maixiao(肖迈)(00:43:17): 就这个相当于每个月都差不多有一次，然后一次干，干完就得一周。

曾凡江(00:43:28): 我刚讲的这个这个表应该是最对的，其他的还好，其他的还好，每个月一次，刚才讲的每个月一次，我们比如说那个。农房那个巡查巡查每个月有一次就我我记得的。

maixiao(肖迈)(00:43:44): 农房巡查这这是不是那种，就说比如说没没人住的房子，就宅基地的这个盘点是吗？

曾凡江(00:43:50): 是。这我们我们现在的村上的这个住好的这个农农房，我们村委要一个村村的干部要去，今天看看这这个。这个组。明天看那个组看他的。那个住房是否安全是否隐患？我们就去排查报上去了。

maixiao(肖迈)(00:44:10): 那属于巡查吗？这种属于巡查类是吧？

曾凡江(00:44:16): 对，巡查台账。

maixiao(肖迈)(00:44:17): 那他这个台账那个表就是固定的，然后就说定期循环说有没有安全隐患，就登记一下有还是没这样子是吧？

曾凡江(00:44:27): 对，如果有就就就说明情况，没有巡查那个照片插上去。

maixiao(肖迈)(00:44:32): 唉，那这个是什么样子的？这就它是填在 excel 表里呢？还是手动对纸质的还还是什么有 APP 专门录入呢？

曾凡江(00:44:44): 没有，没有，都都是用表格填交上去，还有照片要发给他们巡查的照片发给他们，他们做，我不知道政府他们做登记还是怎么样的，不插进去，照片不插进去，但是去寻的那个照片要发给他们。

maixiao(肖迈)(00:44:51): 是你。就就就你的巡查就是。那么。怎么发嘞。

曾凡江(00:45:02): 就通过微信就发跟他们对接的对接的人员就发给他们了。

maixiao(肖迈)(00:45:04): 就他们收东西，其实也是通过微信，就是通过微信发给你们，然后再通过微微信来收收回去。然后。

曾凡江(00:45:11): 对，就非的，我们现在都是微信，比如说有有比较敏感的会会拷贝的。

maixiao(肖迈)(00:45:18): 敏感的就直接还还得去到现场拿个 U 盘给他烤是吧？

曾凡江(00:45:23): 对对对烤，然后我们 U 盘又做好一个，那 U 盘给拷回去，这种呢就设置了比较。保密一点的有这种？

maixiao(肖迈)(00:45:30): 什么东西属于这个保密级别的？

曾凡江(00:45:34): 比如涉及到财政审计。钱有关党纪党纪党纪处分呐，那些的东西就就会比较保密了。

maixiao(肖迈)(00:45:38): 跟钱有关。就就就要 U 盘，然后线上发的，比如说里面写身份证号什么的，其实都不属于敏感了，就你们就直接发。

曾凡江(00:45:51): 身份证号现在好像都不是什么敏感的了，我觉得他当然我们在派出所去，身份证号他都不发给我们，到时候拷回来的，但是我们在统计上交表格的银行卡号，身份证号码。他是现点对点的，发的话不是很保密了。

maixiao(肖迈)(00:46:07): 那那这种。刚刚有说叫巡查台账，这种台账有多少个？就巡查类的这种台台账。

曾凡江(00:46:17): 人不多，这种就一年。一年或者半年一次这种。

maixiao(肖迈)(00:46:22): 就是。

曾凡江(00:46:23): 他巡查发现问题什么整改问题类型的都有，因为有些他是不确定的，他查出来他也不能公布，要核实以后他都会点对点的，用 U 盘拷。

maixiao(肖迈)(00:46:32): 有多有多少类，这种巡查有？

曾凡江(00:46:37): 都不多，这这这涉及到财政的。或者就是财政部门的吧，应该不是很多是吧？

maixiao(肖迈)(00:46:41): 不是很多是吧，只有财政部门才会有这个巡查类吗？应该。

曾凡江(00:46:47): 一位。纪委方面也有。因为。

maixiao(肖迈)(00:46:52): 纪委纪委，纪委，纪委财政，然后应该还有跟安全相关的，是不是都有巡查，比如说道路什么之类的？

曾凡江(00:46:59): 对对对。这这些稍微神秘点，就这些。

maixiao(肖迈)(00:47:04): 森林道路是如果有河道是不是还有河道的那种巡查？

曾凡江(00:47:12): 我们河道巡山有河长制，有专门一个 APP。

maixiao(肖迈)(00:47:15): 就那种就不用填表了？

曾凡江(00:47:19): 每个礼拜的手机上报。

maixiao(肖迈)(00:47:21): 报一下的是吧？

曾凡江(00:47:22): 你去那个 app 还有什么路线图，你走到哪儿？你看了什么地方都记录的？

maixiao(肖迈)(00:47:28): 有定位的是吧？

曾凡江(00:47:31): 所以现在的村干部要要万能的，什么都要干，走到哪里那个定位都有的。哈哈。

maixiao(肖迈)(00:47:36): 都要会，唉，郑书记，您刚刚说你现在表就是桌上表特别多，然后这表主要除了打印出来上交之外，还有一个就是打印出来让组长填是吧？除这还还还会打印来干？

曾凡江(00:47:56): 中山留档。

maixiao(肖迈)(00:47:57): 你们也留档？

曾凡江(00:47:59): 我们也是隔三差五要吵我们。

maixiao(肖迈)(00:48:03): 就跟。

曾凡江(00:48:04): 有的，有的资料几年都来查，所以我人也不能扔。放放。

maixiao(肖迈)(00:48:09): 就是你们做的所有表你们都会打印一份，然后打印一份自己留档，然后再打一份交上去。

曾凡江(00:48:17): 对，他不光是表里面很多很多的资料。这个这个这个技术会场。

maixiao(肖迈)(00:48:22): 他在那笑。好，那那我大概了解了，我听起来这些工作占去就一天一天，如果算八小时得占到80%了吧，有没有？

曾凡江(00:48:28): 哈哈。对，这个占了80%做了，做了这么多东西的话，我跟你讲。他不来查就废纸一堆。来查的话，你没有你就脱不了干净，他就这样一个东西，所以你看一个村的那个资料，我们文件柜123451234567个文件柜堆满。

maixiao(肖迈)(00:48:48): 麻烦了。也就是。都是打出来的各种表是吗？

曾凡江(00:49:01): 光打出来的东西。一年的纸这个 a4纸可能都用用一二十件了。

maixiao(肖迈)(00:49:07): 人品的任务那么多。那曾书记就是刚刚有提到，就是咱们的表表就填表的工作特别多，还有还有另一块工作，就是因为这些表产生的那个收集的工作也特别大，对吧？那您觉得两委工作当中就这两块工作占两委工作的占比能占到多少？

曾凡江(00:49:26): 对。我觉得他占了我80%的时间了。

maixiao(肖迈)(00:49:34): 80%的时间。那你你们剩下还要去处理什么村民的纠纷这种？对。

曾凡江(00:49:36): 对。矛盾纠纷呢？你你这个80%他的填表这个表，他不光是填他去收集的数据占了我们时间，所以他占了我们一大半的时间了。

maixiao(肖迈)(00:49:49): 所所以其实这项工作还是很负担很重的，对吧？

曾凡江(00:49:58): 对，所以说干部一天到晚都在忙，包括不光我们，包括我们乡镇干部也是在忙，但是都都不知道忙什么东西，到到年终总结你干什么几件大事儿，都不知道干了什么事。

maixiao(肖迈)(00:50:03): 是是的。对，就是11你可以上面写今年填表456张为了填表走了几几万公里路。

曾凡江(00:50:11): 但忙就忙到这些东西上去了。<笑声>是的是的。真的，他把他把软件资料确确实把我们套的，现在我还好了，我莹姐莹姐的话我大部分都把穿山字拿出来，比如说我们，我们那个服务设计。我我就通通都通过这个了，我不管他们认不认可我，我反正我就说我们干了这工作，我在上面的，我因为这个比较方便，他，他比我做那个纸质档的方便的纸质档你还找，有时候时间长你都找不到放哪儿去了，我这上面我就可以拿出来让他们检查。

maixiao(肖迈)(00:50:38): 那我就在这上面了，你你看吧！

曾凡江(00:50:54): 比如说我们的县级以上的领导来来到我们这个地方来，唉，他还认可我这个。他特别不认可的，就是我们县级和我们乡镇不认可。

maixiao(肖迈)(00:50:55): 不知道。这样子。

曾凡江(00:51:06): 他们怕就是意思他，他们还担心这个交上去不行，所以他们怕说不认可，其实上面呢，他比较认可我们这个工作的。

maixiao(肖迈)(00:51:12): 对，这样就无纸办公也，然后也也清晰，大家都能看得到。不然就躺在档案室，谁看呢？

曾凡江(00:51:19): 对，我现在就就。所以我我现在出现一个问题怎么办？我们村在省上那种上一级市上一级的部门，还是凭经常优秀的优先在我们乡镇培评选的，我经常倒数第一名。

maixiao(肖迈)(00:51:29): 然后。这样子唉，他们一般来迎检就是检查哪些东西就在穿上，这给他展示的是什么？主要商务公开。

曾凡江(00:51:41): 我来展示我，比如说我们森林防火工作，我们的救灾救济工作，我们村务公开工作，我们的这个低低保什么的民政所有资金，我们下发的公司公开我全部在上面，你们看上面都看得到，大家都看得到，我就这样弄的。

maixiao(肖迈)(00:51:46): 想做工作。阿门。就各种需要公开的东西，然后还有就是跟安全有关的，防灾什么之类的，这些都在上面能看得到好。

曾凡江(00:52:06): 我我我我们村务公开，你可以看到我们村我们是每个月固定的这个26号左右到30号这个时间段，每个月我所有的资金我都是在上面公开了的。

maixiao(肖迈)(00:52:15): 是不是感觉这样就方便多了？

曾凡江(00:52:20): 方便多了，他们不认可我也我也没办法，反正我说我，我反正也得到了，事实上是那个以上的评价，我们还有什么？优秀基层党组织的这种平台，这就是在我们乡镇上，我老是倒倒数，就是因为我们的组织资料教教的慢，表格教的慢。

maixiao(肖迈)(00:52:36): 哈。了解了解。您这么一说，我们更有动力了，我们要加快把这个事情给想办法解决掉。

曾凡江(00:52:44): 不是。如果你们把这个事情把我们记成这我跟你说，你一到调研村干部，刚才我说这这这么多事，真的把干部干的头痛了，干了，现在后备干部找不到了，人家都不愿意干了。

maixiao(肖迈)(00:53:00): 就是那被必须干满三年，这个表才有办法好填这个，这个要求很高。

曾凡江(00:53:08): 是你说你指挥电脑在，在我们这个地方，你说就是刚才我讲了你们，你们全村务工人员有多少，你不知道你，你就这一个数字，你没办法，你必须得一家家去问，你说这个工程多大，这么一个数字，那比如说我在身上了解我，比如说我现在。

maixiao(肖迈)(00:53:11): 都干不动是吧？夏天。

曾凡江(00:53:23): 我从大概出去的，外出的900多人，那么我就搞个850，860上交 ok 这工程完成了，坐，这就完成了，你就要框在一个，你要自己把这个估估在一个范围内。基本上就就可以完成的事情就坐电脑旁边就完成了。

maixiao(肖迈)(00:53:42): 我我还有问题吗？我们我们暂时没有问题了，郑书记。

曾凡江(00:53:44): 哈哈哈。好的好的，希望你们早点把这个。搞出来给我们减负。

maixiao(肖迈)(00:53:53): 对对对，我们尽快，然后好，然后待会你也辛苦把那几个表发给我们。对对对对，是那些表，刚刚问到，刚刚了解到，如果说方便的话，那个灾情表还有务工表，还有那个耕地相关的那个表，就是能能不能给我们看一看。

曾凡江(00:54:10): 哈哈。好的，待会我发两个给肖肖老师，让肖老师看一下我们干的工作。

maixiao(肖迈)(00:54:14): 对好的好对对对，感谢感谢我们要向下怎么解决这个，因为我也拉了一个群，然后有什么问题您都可以在里面反馈，然后包括有什么表可以把那个表头什么的拍一下发给我们，非常感谢电子档给能给就更更对对，有电子档就也更好了，就是您怎么之前。

曾凡江(00:54:18): 哈哈。那你没事了？这个电子档。

maixiao(肖迈)(00:54:33): 对之前那些下来的一些要求，什么表格您都一股脑发用，对吧，没事的，想到什么要补充的也随时说，对对对。

曾凡江(00:54:39): 好的。好好好。

maixiao(肖迈)(00:54:44): 好嘞，谢谢谢谢！就是好的，谢谢！先这样唉！辛苦你了，谢谢感谢感谢，特别有用，特别有用，好的感谢感谢拜拜！

曾凡江(00:54:48): 再见。听明白了。好的好的，再见！拜拜。

maixiao(肖迈)(00:54:56): 时间可以退回？
